N	Wave	B0	B1	S	Sair
1	307.35244835392	0.0198987547077614	0.0232313588866462	+NAN	+NAN
2	310.67181599198	0.0197795701196303	0.0236833363776644	+NAN	+NAN
3	313.99193011136	0.0197686869698198	0.0236647570677126	+NAN	+NAN
4	317.3127788425	0.0197267640913061	0.0234954377137903	0.055111925284666	0.0757159521740855
5	320.63435031584	0.0197797358723609	0.0234200738014678	0.0635644900470338	0.0861716927246973
6	323.95663266182	0.0197604879673847	0.0234821018909979	0.0684920336509345	0.0930157129243441
7	327.27961401088	0.0197939803130701	0.0236497410876558	0.0712243982295283	0.0988264634085083
8	330.60328249346	0.0197572999317085	0.023466617212525	0.0737894168175269	0.102492735302376
9	333.92762624	0.0197678527973938	0.0235069603632313	0.0762075307060807	0.104511445864489
10	337.25263338094	0.0197282516784435	0.0235620777259102	0.0792289016517937	0.108921794831744
11	340.57829204672	0.0197546983117453	0.0234942948577268	0.0844782241833145	0.114603893520338
12	343.90459036778	0.0197335372713055	0.0234552459081591	0.0882906619704169	0.121460225450004
13	347.23151647456	0.0197703015758918	0.0234084490333774	0.0948639543926249	0.130829064850509
14	350.5590584975	0.0197414204711699	0.0236995800508164	0.102867797400366	0.141973660459052
15	353.88720456704	0.0197700581810928	0.0234903225295491	0.112154474947429	0.153568050456435
16	357.21594281362	0.0197305680292337	0.0236148261104866	0.122049410494309	0.168449051311615
17	360.54526136768	0.0197731197212641	0.0235148325764423	0.133122219224171	0.182434721842805
18	363.87514835966	0.0197383024005937	0.0232215144742899	0.142283727274177	0.195419947294726
19	367.20559192	0.0197489760040575	0.0233091907536082	0.149719804777068	0.205668191568032
20	370.53658017914	0.0197424429038025	0.023596728940209	0.15400934012537	0.211403224878853
21	373.86810126752	0.0197745272236612	0.023648190629804	0.154329802391743	0.211930108547805
22	377.20014331558	0.0197359105014537	0.0236008754810568	0.152733490205315	0.209048795562858
23	380.53269445376	0.0197690975131619	0.0237766457660657	0.149987132804835	0.205322756429683
24	383.8657428125	0.019727027725386	0.0234276537982361	0.146177135595397	0.200017198414958
25	387.19927652224	0.0197468006303266	0.0234905670906221	0.143685239972365	0.196397799843915
26	390.53328371342	0.0197304916085011	0.0236643290421944	0.142311069959308	0.194159313815908
27	393.86775251648	0.0197634879173308	0.0234385906182975	0.14135170551329	0.193338675398866
28	397.20267106186	0.0197393818870608	0.0236399581210508	0.141808600776734	0.193960087260738
29	400.53802748	0.0197663946967948	0.0236241477102708	0.143782373712858	0.196309593507489
30	403.87380990134	0.0197289127701236	0.0232790514379914	0.145673633213555	0.199154827029058
31	407.21000645632	0.0197576111978888	0.0236530684100057	0.149857286962375	0.204605123430324
